Municipios;Sexo;Periodo;Total
15901 Cariño;Total;2002;4.861
15901 Cariño;Total;2001;4.967
15901 Cariño;Total;2000;5.036
15901 Cariño;Total;1999;5.110
15901 Cariño;Total;1998;5.199
15020 Carnota;Total;2021;3.854
15020 Carnota;Total;2020;3.899
15020 Carnota;Total;2019;3.957
15020 Carnota;Total;2018;4.031
15020 Carnota;Total;2017;4.060
15020 Carnota;Total;2016;4.170
15020 Carnota;Total;2015;4.284
15020 Carnota;Total;2014;4.376
15020 Carnota;Total;2013;4.504
15020 Carnota;Total;2012;4.605
15020 Carnota;Total;2011;4.834
15020 Carnota;Total;2010;4.904
15020 Carnota;Total;2009;4.938
15020 Carnota;Total;2008;4.958
15020 Carnota;Total;2007;5.017
15020 Carnota;Total;2006;5.112
15020 Carnota;Total;2005;5.244
15020 Carnota;Total;2004;5.285
15020 Carnota;Total;2003;5.421
15020 Carnota;Total;2002;5.510
15020 Carnota;Total;2001;5.593
15020 Carnota;Total;2000;5.645
15020 Carnota;Total;1999;5.864
15020 Carnota;Total;1998;5.930
15021 Carral;Total;2021;6.574
15021 Carral;Total;2020;6.473
15021 Carral;Total;2019;6.408
15021 Carral;Total;2018;6.294
15021 Carral;Total;2017;6.237
15021 Carral;Total;2016;6.172
15021 Carral;Total;2015;6.180
15021 Carral;Total;2014;6.118
15021 Carral;Total;2013;6.123
15021 Carral;Total;2012;6.130
15021 Carral;Total;2011;6.064
15021 Carral;Total;2010;5.945
15021 Carral;Total;2009;5.770
15021 Carral;Total;2008;5.672
15021 Carral;Total;2007;5.647
15021 Carral;Total;2006;5.579
15021 Carral;Total;2005;5.527
15021 Carral;Total;2004;5.453
15021 Carral;Total;2003;5.373
15021 Carral;Total;2002;5.290
15021 Carral;Total;2001;5.282
15021 Carral;Total;2000;5.275
15021 Carral;Total;1999;5.290
15021 Carral;Total;1998;5.212
15022 Cedeira;Total;2021;6.650
15022 Cedeira;Total;2020;6.676
15022 Cedeira;Total;2019;6.640
15022 Cedeira;Total;2018;6.794
15022 Cedeira;Total;2017;6.888
15022 Cedeira;Total;2016;6.997
15022 Cedeira;Total;2015;7.062
15022 Cedeira;Total;2014;7.147
15022 Cedeira;Total;2013;7.246
15022 Cedeira;Total;2012;7.254
15022 Cedeira;Total;2011;7.338
15022 Cedeira;Total;2010;7.412
15022 Cedeira;Total;2009;7.465
15022 Cedeira;Total;2008;7.511
15022 Cedeira;Total;2007;7.482
15022 Cedeira;Total;2006;7.443
15022 Cedeira;Total;2005;7.429
15022 Cedeira;Total;2004;7.477
15022 Cedeira;Total;2003;7.498
15022 Cedeira;Total;2002;7.572
15022 Cedeira;Total;2001;7.595
15022 Cedeira;Total;2000;7.528
15022 Cedeira;Total;1999;7.553
15022 Cedeira;Total;1998;7.699
15023 Cee;Total;2021;7.568
15023 Cee;Total;2020;7.550
15023 Cee;Total;2019;7.546
15023 Cee;Total;2018;7.576
15023 Cee;Total;2017;7.539
15023 Cee;Total;2016;7.631
15023 Cee;Total;2015;7.723
15023 Cee;Total;2014;7.760
15023 Cee;Total;2013;7.808
15023 Cee;Total;2012;7.855
15023 Cee;Total;2011;7.898
15023 Cee;Total;2010;7.818
15023 Cee;Total;2009;7.712
15023 Cee;Total;2008;7.691
15023 Cee;Total;2007;7.555
15023 Cee;Total;2006;7.489
15023 Cee;Total;2005;7.467
15023 Cee;Total;2004;7.344
15023 Cee;Total;2003;7.308
15023 Cee;Total;2002;7.239
15023 Cee;Total;2001;7.320
15023 Cee;Total;2000;7.364
15023 Cee;Total;1999;7.352
15023 Cee;Total;1998;7.326
15024 Cerceda;Total;2021;4.996
15024 Cerceda;Total;2020;5.008
15024 Cerceda;Total;2019;5.001
15024 Cerceda;Total;2018;5.023
15024 Cerceda;Total;2017;4.992
15024 Cerceda;Total;2016;5.031
15024 Cerceda;Total;2015;5.076
15024 Cerceda;Total;2014;5.156
15024 Cerceda;Total;2013;5.265
15024 Cerceda;Total;2012;5.318
15024 Cerceda;Total;2011;5.392
15024 Cerceda;Total;2010;5.486
15024 Cerceda;Total;2009;5.570
15024 Cerceda;Total;2008;5.597
15024 Cerceda;Total;2007;5.587
15024 Cerceda;Total;2006;5.483
15024 Cerceda;Total;2005;5.500
15024 Cerceda;Total;2004;5.499
15024 Cerceda;Total;2003;5.471
15024 Cerceda;Total;2002;5.492
15024 Cerceda;Total;2001;5.503
15024 Cerceda;Total;2000;5.573
15024 Cerceda;Total;1999;5.513
15024 Cerceda;Total;1998;5.658
15025 Cerdido;Total;2021;1.075
15025 Cerdido;Total;2020;1.087
15025 Cerdido;Total;2019;1.113
15025 Cerdido;Total;2018;1.126
15025 Cerdido;Total;2017;1.170
15025 Cerdido;Total;2016;1.191
15025 Cerdido;Total;2015;1.233
15025 Cerdido;Total;2014;1.249
15025 Cerdido;Total;2013;1.258
15025 Cerdido;Total;2012;1.312
15025 Cerdido;Total;2011;1.328
15025 Cerdido;Total;2010;1.361
15025 Cerdido;Total;2009;1.359
15025 Cerdido;Total;2008;1.384
15025 Cerdido;Total;2007;1.439
15025 Cerdido;Total;2006;1.496
15025 Cerdido;Total;2005;1.522
15025 Cerdido;Total;2004;1.558
15025 Cerdido;Total;2003;1.589
15025 Cerdido;Total;2002;1.619
15025 Cerdido;Total;2001;1.638
15025 Cerdido;Total;2000;1.668
15025 Cerdido;Total;1999;1.692
15025 Cerdido;Total;1998;1.707
15026 Cesuras;Total;2021;""
15026 Cesuras;Total;2020;""
15026 Cesuras;Total;2019;""
15026 Cesuras;Total;2018;""
15026 Cesuras;Total;2017;""
15026 Cesuras;Total;2016;""
15026 Cesuras;Total;2015;""
15026 Cesuras;Total;2014;""
15026 Cesuras;Total;2013;2.131
15026 Cesuras;Total;2012;2.174
15026 Cesuras;Total;2011;2.225
15026 Cesuras;Total;2010;2.209
15026 Cesuras;Total;2009;2.219
15026 Cesuras;Total;2008;2.274
15026 Cesuras;Total;2007;2.323
15026 Cesuras;Total;2006;2.391
15026 Cesuras;Total;2005;2.427
15026 Cesuras;Total;2004;2.463
15026 Cesuras;Total;2003;2.509
15026 Cesuras;Total;2002;2.555
15026 Cesuras;Total;2001;2.595
15026 Cesuras;Total;2000;2.646
15026 Cesuras;Total;1999;2.703
15026 Cesuras;Total;1998;2.733
15027 Coirós;Total;2021;1.873
15027 Coirós;Total;2020;1.853
15027 Coirós;Total;2019;1.824
15027 Coirós;Total;2018;1.824
15027 Coirós;Total;2017;1.801
15027 Coirós;Total;2016;1.789
15027 Coirós;Total;2015;1.757
15027 Coirós;Total;2014;1.747
15027 Coirós;Total;2013;1.751
15027 Coirós;Total;2012;1.765
15027 Coirós;Total;2011;1.771
15027 Coirós;Total;2010;1.722
15027 Coirós;Total;2009;1.713
15027 Coirós;Total;2008;1.713
15027 Coirós;Total;2007;1.660
15027 Coirós;Total;2006;1.654
15027 Coirós;Total;2005;1.654
15027 Coirós;Total;2004;1.650
15027 Coirós;Total;2003;1.602
